date_ist,minute_bucket_ist,run_id,symbol,expiry_used,signal,strike,moneyness,setup,confidence,reason,stop_underlying,target_underlying,stop_premium_pct,target_premium_pct
2026-07-31 00:00:00,2026-07-31 09:31:00,17,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24400,ITM1,BREAKOUT_DOWN,46,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,PUT_MOM,WALL_SHIFT",,,,
2026-07-31 00:00:00,2026-07-31 09:32:00,18,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ITM1,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,PUT_MOM",,,,
2026-07-31 00:00:00,2026-07-31 09:33:00,19,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ITM1,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,,,,
2026-07-31 00:00:00,2026-07-31 09:34:00,20,NIFTY,2026-08-04 00:00:00,ENTRY_PUT,24350,ITM1,BREAKOUT_DOWN,70,"Breakout DOWN held + bearish flow + PUT momentum | VOL_EXP,PUT_MOM,COMMITTED,WALL_SHIFT",24383.309999999998,24198.269999999997,-30,40
2026-07-31 00:00:00,2026-07-31 09:35:00,21,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ITM1,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TRADE_LIMIT,VOL_EXP",,,,
2026-07-31 00:00:00,2026-07-31 09:43:00,29,NIFTY,2026-08-04 00:00:00,ENTRY_CALL,24350,ATM,TREND_UP,68,"Trend UP + bullish flow + commitment + CALL momentum | CALL_MOM,COMMITTED,TAIL_LOW",24277.2175,24453.5725,-30,40
2026-07-31 00:00:00,2026-07-31 09:44:00,30,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24350,ATM,BREAKOUT_UP,58,"Breakout UP setup (waiting for flow/momentum/unwind) | TRADE_LIMIT,TAIL_LOW",,,,
2026-07-31 00:00:00,2026-07-31 09:45:00,31,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24350,ATM,BREAKOUT_UP,70,"Breakout UP held + bullish flow + CALL momentum | gated (time/limit) | TRADE_LIMIT,CALL_MOM,WALL_UNWIND_UP,COMMITTED",,,,
2026-07-31 00:00:00,2026-07-31 10:07:00,53,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24400,ITM1,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,CALL_MOM,RANGE",,,,
2026-07-31 00:00:00,2026-07-31 10:08:00,54,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,PUT_MOM",,,,
