date_ist,minute_bucket_ist,run_id,symbol,expiry_used,signal,strike,moneyness,setup,confidence,reason,stop_underlying,target_underlying,stop_premium_pct,target_premium_pct
2026-08-03 00:00:00,2026-08-03 14:43:00,329,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,PIN_BREAK,57,"Pin break UP setup | WALL_UNWIND_UP,COMMITTED,TAIL_HIGH,PIN",,,,
2026-08-03 00:00:00,2026-08-03 14:52:00,338,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,52,"Breakout UP setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,TAIL_HIGH",,,,
2026-08-03 00:00:00,2026-08-03 14:53:00,339,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24650,ITM1,BULL_TRAP,60,"Bull trap setup | PUT_MOM,WALL_UNWIND_UP,COMMITTED,TAIL_HIGH,RANGE,BULL_TRAP",,,,
2026-08-03 00:00:00,2026-08-03 14:54:00,340,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 14:55:00,341,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 15:04:00,350,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_DOWN,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 15:05:00,351,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_DOWN,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 15:06:00,352,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | PUT_MOM,WALL_UNWIND_UP,WALL_UNWIND_DOWN,TAIL_HIGH",,,,
2026-08-03 00:00:00,2026-08-03 15:07:00,353,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN,TAIL_HIGH",,,,
2026-08-03 00:00:00,2026-08-03 15:08:00,354,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,WALL_UNWIND_UP,WALL_UNWIND_DOWN,TAIL_HIGH",,,,
2026-08-03 00:00:00,2026-08-03 15:09:00,355,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN,TAIL_HIGH",,,,
2026-08-03 00:00:00,2026-08-03 15:27:00,373,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 15:28:00,374,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,CALL_MOM,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 15:29:00,375,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,TRADE_LIMIT,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 15:31:00,377,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,30,"Breakout UP setup (waiting for flow/momentum/unwind) | TIME_GATE,VOL_EXP,CALL_MOM,WALL_SHIFT,TAIL_HIGH,CHOP",,,,
2026-08-03 00:00:00,2026-08-03 15:32:00,378,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,52,"Breakout UP setup (waiting for flow/momentum/unwind) | TIME_GATE,VOL_EXP,TAIL_HIGH",,,,
